"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 04 19:45:12 CST 2022","Wed May 04 19:45:12 CST 2022","1","testcase","test_fixture","Test_class1","","","test_04",""
"passed","Wed May 04 19:45:12 CST 2022","Wed May 04 19:45:12 CST 2022","1","testcase","test_fixture","Test_class1","","","test_05",""
"passed","Wed May 04 19:45:12 CST 2022","Wed May 04 19:45:12 CST 2022","1","testcase","test_fixture","","","","test_000",""
